epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
69,7508.08,0.56916,0.59019,0.32785,0.00185,0.04768,0.97845,0.9571,0.97691,0.89589,0.98048,0.95779,0.97946,0.82448,0.42845,0.5936,0.2069,0.00233,0,0.00756,0.00252,0.00756,0.00252,0.00756,0.00252,0.00756,0.00252
70,7615.52,0.57801,0.59304,0.34026,0.00186,0.04743,0.97288,0.95438,0.97721,0.89467,0.97837,0.95212,0.97937,0.82516,0.42853,0.59997,0.20673,0.00235,0,0.00723,0.00241,0.00723,0.00241,0.00723,0.00241,0.00723,0.00241
71,7724.25,0.57371,0.58565,0.32252,0.00183,0.04537,0.97478,0.9559,0.97634,0.89426,0.976,0.9571,0.97856,0.82427,0.42986,0.58948,0.20983,0.00235,0,0.0069,0.0023,0.0069,0.0023,0.0069,0.0023,0.0069,0.0023
72,7831.94,0.56703,0.57364,0.32932,0.00184,0.04435,0.98144,0.947,0.97497,0.8953,0.98184,0.9513,0.97923,0.82707,0.42595,0.58695,0.2103,0.00233,0,0.00657,0.00219,0.00657,0.00219,0.00657,0.00219,0.00657,0.00219
73,7938.31,0.56018,0.57471,0.31929,0.0018,0.04522,0.98283,0.95048,0.97735,0.89759,0.97975,0.95941,0.97964,0.82694,0.42757,0.5908,0.19819,0.00234,0,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
74,8045.14,0.55394,0.58116,0.31164,0.00177,0.04402,0.9788,0.9503,0.97642,0.89744,0.9822,0.95395,0.97806,0.82658,0.427,0.59069,0.20782,0.00232,0,0.00591,0.00197,0.00591,0.00197,0.00591,0.00197,0.00591,0.00197
75,8151.89,0.54777,0.57116,0.30363,0.00176,0.03923,0.97861,0.95098,0.97757,0.90046,0.98082,0.95491,0.97948,0.82804,0.42329,0.60481,0.20157,0.0023,0,0.00558,0.00186,0.00558,0.00186,0.00558,0.00186,0.00558,0.00186
76,8258.9,0.53662,0.55588,0.28613,0.00171,0.03853,0.9773,0.95434,0.97784,0.90223,0.98034,0.95892,0.97905,0.82919,0.42133,0.60554,0.19439,0.0023,0,0.00525,0.00175,0.00525,0.00175,0.00525,0.00175,0.00525,0.00175
77,8366.19,0.53863,0.56793,0.29161,0.00172,0.0383,0.97912,0.95154,0.97749,0.90179,0.98219,0.95415,0.97886,0.82721,0.42011,0.6055,0.19606,0.0023,0,0.00492,0.00164,0.00492,0.00164,0.00492,0.00164,0.00492,0.00164
78,8474.05,0.53148,0.57007,0.29673,0.00171,0.04006,0.97215,0.95544,0.9777,0.90239,0.97461,0.96009,0.97957,0.82817,0.4198,0.60065,0.19682,0.00229,0,0.00459,0.00153,0.00459,0.00153,0.00459,0.00153,0.00459,0.00153
